Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V, CS, MISO, MOSI, SCK",TestPoint_THTPad_D1.0mm_Drill0.5mm,6,TestPoint,
"C1, C4, C5",0603,3,10u,
C10,0603,1,1u,
"C11, C12, C15, C2, C3, C6, C7, C8, C9",0603,9,100n,
"C13, C14",0603,2,27p,
CR1,SOT-223-3_TabPin2,1,LD1117S33CTR,
D1,SOD2512X110N,1,D_Schottky,
D2,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,1,WS2812B,
F1,1206,1,Polyfuse,
"H2, H3",MountingHole_3.5mm,2,MountingHole,
IC1,DIP-8_W7.62mm_Socket,1,SST25VF080B-50-4C-PAE,
J1,USB4105_GCT,1,USB4105-GF-A,
"R1, R2",0603,2,5k1,
"R3, R4, R5",0603,3,10k,
R7,0603,1,1k5,
"S1, S2",TL3365AF250QG,2,TL3365AF180QG,
U1,LQFP48_STM-M,1,STM32F103C8T6,
U2,SOT-23-6,1,USBLC6-4SC6,
U3,SOT-23-6,1,USBLC6-2SC6,
Y2,LFXTAL055663Reel,1,8MHz,
