Designator,Mid X,Mid Y,Rotation,Layer
C1,30.226,-45.707,90.0,top
C10,49.632966,-54.229,90.0,top
C11,46.063966,-65.659,0.0,top
C12,51.156966,-54.229,270.0,top
C13,53.442966,-55.372,0.0,top
C14,53.315966,-64.262,180.0,top
C15,49.403,-49.276,180.0,top
C2,30.226,-42.659,270.0,top
C3,19.685,-45.707,90.0,top
C4,19.685,-42.646,270.0,top
C5,49.124966,-65.659,180.0,top
C6,36.576,-62.103,270.0,top
C7,49.632966,-57.277,90.0,top
C8,40.983966,-52.959,180.0,top
C9,49.632966,-62.611,90.0,top
CR1,24.892,-44.183,0.0,top
D1,33.02,-46.863,270.0,top
D2,35.052,-53.213,0.0,top
F1,29.21,-49.022,180.0,top
IC1,42.164,-44.958,270.0,top
J1,20.7982,-53.9049,270.0,top
R1,28.321,-51.181,0.0,top
R2,28.321,-56.642,0.0,top
R3,43.028966,-65.659,0.0,top
R4,49.403,-50.8,180.0,top
R5,46.355,-52.324,0.0,top
R7,31.623,-55.753,90.0,top
S1,61.595,-55.245,180.0,top
S2,61.631,-62.933,180.0,top
U1,43.562366,-59.305,180.0,top
U2,52.07,-41.402,180.0,top
U3,28.8235,-53.914,180.0,top
Y2,53.315966,-59.817,90.0,top
